id,domain,status,primaryWave,implementationRole,canonicalImplementationIds,implementationOwner,dependsOn,testGate,rollbackUnit,title,notes
CU-021,coding-ui,PARTIAL,CROSSWALK,CROSSWALK,AG-007;AG-008;AG-010;CC-004;CC-005;CC-031,"crosswalk only; see AG-007,AG-008,AG-010,CC-004,CC-005,CC-031","W1,W7",canonical target gates,no independent code; follows canonical targets,session/CLI 安全与自动化修复,
CU-022,coding-ui,CONFLICT,CROSSWALK,CROSSWALK,AI-028;CC-012;CC-041,"crosswalk only; see AI-028,CC-012,CC-041",W8,canonical target gates,no independent code; follows canonical targets,prompt/tool refresh 与 settled queue正确性,
CU-023,coding-ui,PARTIAL,CROSSWALK,CROSSWALK,CC-010;CC-015;CC-026;CC-027,"crosswalk only; see CC-010,CC-015,CC-026,CC-027","W4,W6",canonical target gates,no independent code; follows canonical targets,extension/SDK 新接口,
CU-024,coding-ui,PARTIAL,CROSSWALK,CROSSWALK,CC-006;CC-019;CC-029,"crosswalk only; see CC-006,CC-019,CC-029","W6,W9",canonical target gates,no independent code; follows canonical targets,model overrides/default selection/刷新辅助修复,
CU-025,coding-ui,MISSING,CROSSWALK,CROSSWALK,CC-003,crosswalk only; see CC-003,W1,canonical target gates,no independent code; follows canonical targets,BMP disk images,
CU-026,coding-ui,SUPERSEDED,W4,GOVERNANCE,CU-026,HarnessComponentProtocol/tools/edit/bash + coding renderers,W1,G4,feature-scoped UI/RPC commits,bash/edit 当前 Magenta UX 保护项,
HC-001,hcp,CONFLICT,W5,GOVERNANCE,HC-001,pi/ai Models/auth + Magenta composite credential resolver,"W1,W2,W3",G5,pi-ai Models/auth commit set,ModelRuntime/auth/provider composition,
HC-002,hcp,CONFLICT,W6,GOVERNANCE,HC-002,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,before_provider_headers 与请求 header transform,
HC-003,hcp,CONFLICT,W8,GOVERNANCE,HC-003,pi/ai + pi/agent + coding dynamic tools; existing HCP tool pool,"W4,W5,W6,W7",G8,dynamic-tool protocol commit set,message-anchored deferred tools + same-run active tool refresh,
HC-004,hcp,CONFLICT,W7,GOVERNANCE,HC-004,HarnessComponentProtocol/_magenta/session,"W5,W6",G7,session then compaction owner-scoped commits,session context projectors、header metadata、short UUID fix,
HC-005,hcp,CONFLICT,W7,GOVERNANCE,HC-005,HarnessComponentProtocol/compaction/pi + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,compaction custom-message accounting、split-turn serialization、pre-prompt no-continue,
HC-006,hcp,SUPERSEDED,EXCLUDED,EXCLUDED,HC-006,none,none,scope audit,no code may be imported,experimental persistent orchestrator package,
HC-007,hcp,CONFLICT,W4,GOVERNANCE,HC-007,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,TUI normalization/key parsing/status/message rendering,
HC-008,hcp,CONFLICT,W9,GOVERNANCE,HC-008,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,OAuth binary bundling、catalog refresh、install lock、Bun/build changes,
HC-009,hcp,CONFLICT,W0,GOVERNANCE,HC-009,HCP assembly governance,none,G0,discard isolated upgrade worktree,HCP assembly compatibility across all batches,Global invariant checked after every wave despite one primary governance row.
MX-001,misc,MISSING,W4,CANONICAL,MX-001,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,Question extension executes multiple questions sequentially,
MX-002,misc,MISSING,W4,CANONICAL,MX-002,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,pnpm self-update cache prune hint,
MX-003,misc,MISSING,W4,CANONICAL,MX-003,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,Fork selector rejects duplicate selection,
MX-004,misc,MISSING,W4,CANONICAL,MX-004,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,Restore Windows terminal title after package update check,
TR-001,tui-repo,CONFLICT,W4,CANONICAL,TR-001,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,Preserve source backslash escapes in rendered user messages,
TR-002,tui-repo,CONFLICT,W4,CANONICAL,TR-002,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,Clean paste-marker state on deletion and editor reset,
TR-003,tui-repo,CONFLICT,W4,CANONICAL,TR-003,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,Parse legacy Alt-prefixed printable symbols,
TR-004,tui-repo,MISSING,W4,CANONICAL,TR-004,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,Normalize visible tabs before terminal differential output,
TR-005,tui-repo,N/A,EXCLUDED,EXCLUDED,TR-005,none,none,scope audit,no code may be imported,Quiet dot reporters for package tests,
TR-006,tui-repo,SUPERSEDED,EXCLUDED,EXCLUDED,TR-006,none,none,scope audit,no code may be imported,Experimental `@earendil-works/pi-orchestrator`,
TR-007,tui-repo,PRESENT,VERIFY,VERIFY,TR-007,current implementation owner,W0,G0 regression,none; retain current behavior,Visible release asset directory and relaxed generated-diff assertion,
TR-008,tui-repo,N/A,EXCLUDED,EXCLUDED,TR-008,none,none,scope audit,no code may be imported,Remove OpenClaw gate,
TR-009,tui-repo,N/A,EXCLUDED,EXCLUDED,TR-009,none,none,scope audit,no code may be imported,Generated installer lock release artifacts,
TR-010,tui-repo,N/A,EXCLUDED,EXCLUDED,TR-010,none,none,scope audit,no code may be imported,Restrict CI bot gate bypasses,
TR-011,tui-repo,N/A,EXCLUDED,EXCLUDED,TR-011,none,none,scope audit,no code may be imported,Automated issue-analysis workflow and session import repro,
TR-012,tui-repo,MISSING,W9,CANONICAL,TR-012,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,Include native clipboard binary at the path expected by Bun release,
TR-013,tui-repo,MISSING,W9,CANONICAL,TR-013,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,Gate local/source release on full tests,
TR-014,tui-repo,PRESENT,VERIFY,VERIFY,TR-014,current implementation owner,W0,G0 regression,none; retain current behavior,Bun 1.3.14 for release binaries,
TR-015,tui-repo,CONDITIONAL,W9,CANONICAL,TR-015,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,Publish generated model catalogs to R2,Conditional on D5 remote-catalog publication decision.
TR-016,tui-repo,PRESENT,VERIFY,VERIFY,TR-016,current implementation owner,W0,G0 regression,none; retain current behavior,`undici` vulnerability refresh in Gondolin example dependency,
TR-017,tui-repo,N/A,W9,CANONICAL,TR-017,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,"Mechanical versions, lock drift, changelog cycle and release metadata","Mechanical upstream bump is excluded; W9 marks Pi private 0.80.8-magenta.0, HCP private 0.0.2, and forbids npm fork publication."
TR-018,tui-repo,PARTIAL,W9,CANONICAL,TR-018,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,Isolate Radius/gateway/experimental environment during tests,
TR-019,tui-repo,N/A,EXCLUDED,EXCLUDED,TR-019,none,none,scope audit,no code may be imported,Contributor approval metadata,
